date,code,shares,price,commission,cash
2023-11-08,sz300832,2000,65.37,40.5294,273195.69172000006
2023-11-08,sh603259,1500,85.15,39.594750000000005,145431.09697000004
2023-11-08,sz000338,10400,12.39,39.945359999999994,16535.151610000044
2023-11-15,sh603259,-1500,83.47,101.41604999999998,141638.73556000006
2023-11-15,sz301236,-1000,47.32,38.3292,188920.40636000005
2023-11-15,sz301308,100,102.51,5.10251,178664.30385000005
2023-11-15,sz300832,100,64.43,5.06443,172216.23942000006
2023-11-15,sh601901,15400,9.07,43.30018,32494.939240000065
2023-11-15,sz000338,800,12.41,5.09928,22561.839960000063
2023-11-22,sz301236,100,43.7,5.0437,18186.79626000006
2023-11-22,sz000338,-800,13.02,10.31216,28592.48410000006
2023-11-22,sh601901,-300,8.97,6.37241,31277.11169000006
2023-11-22,sz000625,2000,15.25,9.454999999999998,767.656690000058
2023-11-27,sz301308,-1300,89.65,94.40145000000001,117218.25524000007
2023-11-29,sh601901,-15100,8.34,102.00654,243050.24870000005
2023-11-29,sz000625,-2000,20.35,32.967,283717.28170000005
2023-12-19,sz000338,-10400,11.83,99.65592,406649.62578000006
2024-01-04,sz301236,-100,47.14,7.40414,411356.22164000006
2024-01-04,sz300832,-300,73.71,17.911529999999996,433451.3101100001
2024-01-04,sh600023,33500,4.16,43.2016,294048.10851000005
2024-01-04,sh601898,15700,8.83,42.975609999999996,155374.13290000006
2024-01-04,sh601225,7700,17.93,42.79890999999999,17270.333990000043
2024-01-22,sz301236,-2900,39.37,92.48012999999999,131350.85386000003
2024-01-23,sz300832,-1800,66.58,97.07364,251097.78022000002
2024-01-25,sh600023,-33500,4.18,113.42429999999999,391014.35592
2024-02-08,sh601898,-2400,10.66,20.723039999999997,416577.63288
2024-02-08,sz300394,3500,40.51,43.95335,274748.67952999996
2024-02-08,sh601225,-800,20.19,13.23752,290887.44200999994
2024-02-08,sh601088,4400,31.76,43.32064,151100.12136999995
2024-02-08,sz003816,40900,3.46,43.869339999999994,9542.252029999945
2024-02-23,sh601898,-400,11.78,7.4031199999999995,14246.848909999946
2024-02-23,sh600066,1200,11.82,5.14184,57.707069999945816
2024-02-23,sh601225,-300,23.35,8.57255,7054.134519999946
2024-03-01,sz300394,-3500,47.47,134.57745,173064.55706999992
2024-03-01,sh600066,-1200,13.28,13.12736,188987.4297099999
2024-03-01,sz300308,1300,109.89,44.285669999999996,46086.1440399999
2024-03-01,sh601898,800,10.98,5.08784,37297.0561999999
2024-03-01,sh601225,200,22.0,5.044,32892.012199999896
2024-03-01,sh600938,1400,22.06,9.574039999999998,1998.438159999896
2024-03-08,sh601088,-4400,33.4,119.0376,148839.4005599999
2024-03-08,sh600066,11200,13.28,46.10816,57.29239999988931
2024-03-08,sh601225,-200,24.12,7.46024,4873.832159999889
2024-03-15,sh601898,-13700,10.57,117.29529,149565.5368699999
2024-03-15,sz003816,-40900,3.54,117.27665999999999,294234.26020999986
2024-03-15,sh600066,600,12.99,5.07794,286435.1822699999
2024-03-15,sh600938,4500,25.72,35.8794,170659.30286999987
2024-03-15,sz300308,-100,117.77,11.00627,182425.29659999986
2024-03-15,sz300394,2900,51.77,46.54123,32245.755369999853
2024-03-15,sh601899,2300,13.72,9.782359999999999,679.9730099998524
2024-03-22,sh601225,-6600,21.69,115.95473999999999,143718.01826999985
